review_body,sentiment
after going through many reviews and checking multiple brands decided to settle with philips ac not sure how accurate is the pmi number it is displaying but we can feel noticeable difference after using it for over month cleaning the filters also easy overall happy with the product highly recommend so much so that bought another one it been month and just had to wash the first filter once and works very nicely everyone in the house is breathing nicely and clearly monitors the pm level in the air exactly when installed it in the kitchen the pm level went up as soon as the cooking started and the purifier automatically switched to higher speed and brought it down during karthigy when everyone was cracking crackers the pm level went up in the purifier indicating increase in air pollutants great product no issues and work very efficiently easy to install no noise and air clean quickly did not receive an invoice and there is no serial number marked on the product am unable to initiate any request with the manufacturer it reduces pollution indoor but take time good purifier with almost no noise and good display of impurities in air,positive
after month of use can say that this is best device for lenovo laptop easy to use highly recommended this good product works well very good used it for more than months no complaints so far great mouse for daily office use the mouse is working perfectly and thing best one as per the budget battery used more if not use it should auto off required used it for my office work didn find any issue size is ok connectivity is good sensor works fine you can go for it,positive
after months it has become worse and my phone dosent charge or takes too much time like to hours sometimes it doesnt even connect to the phone dont buy it dont buy any other cheap cables prefer the branded ones they will be expensive but worth your money and time okay but not supprting fast charging fast charging like verymuch charger worked for hardly days after delivery nice charging cable for samsung,neutral
after receipt of product received demo request and opted for demo code ref today contacted eureka forbes for the demo and understand there is no demo for vacuum cleaners from their end fyi please na good but complicated equipment blower function unable to use we didn receive stamped warrenty card with the product compact and good value for money but there was no demo from eureka forbes they did not bother to call us the pipe provided are of very low quality one of the pipe is already broken they have sent youtube link thats the great support we got from the manufacturer it is pleasure to clean without noise and stress this product from eureka forbes is very good it lives up the name eureka forbes have made in vaccum cleaner market good suction power easy power control cord length is also good with convenient button to roll it sufficient accessories which covers almost every area good filters works on normal sockets which isn the case in some high power vaccum cleaner demo for the product provided by ms priya was also good use of all the accessories was clearly explained and other necessary details to operate the product was clearly explained too overall am satisfied with the product and service provided till date,positive
after testing couple of times it seemed as if the fans didn impact the cooling experience as much as hope and most of the work was done by the stand raising the laptop itself this laptop fans started failing couple of months after purchase and now make quite an annoying noise hence referring my above statement if you experience this noise it would be best to just leave it turned off if you don care about the small additional cooling it do cooling but not that like was expecting quality is nice having fans two separate controls controls four fans nd control for middle fan so depending upon laptop battery cooling required power can be distributed built quality is good although it is very light weight design is superb having two usb ports so even one fails second would be avail which will increase life of this product its throwing really cool air through small honeycombs can feel with hands so its cooling my laptop really well just had small issue about fans that sometime if pad gets tilted before starting have to tap it lightly to start it may be its balancing issue but its not much problem for me as it occurs only sometimes it works very well all time so recommend everyone to buy good product like the product and the performance also but the cost is too high think they need to reduce the price according to the performance for office use it is good adjustable is slightly okay build quality and fan quality is good best for price rpmlooks good quality is also good not for heavy gaming am using it for video editing premier pro works fine but fan sound is high,positive
after using the phone for day feel corners have been cut in various areas jn sensor is not that great in low light color is typical samsung style with oversaturated greens interesting to note that jn is also being used in samsung new thermal management is very poor device heats up in normal usage within minutes if the screen brightness is high same is the case when camera app is opened simple games on flipkart gamezone are played there are reports on youtube of narzo camera shutting down on hot days above scenarios and hz adaptive refresh rate also drain battery like crazy speaker and earpiece do not have crispiness upper treble instead sound like white noise earpiece volume is low so is the speaker volume when on call on the other hand speaker volume is decent while playing back videos flashlight is half as bright as normal smartphones don really know if company did cost cutting here or its software bug no fm radio and secondary mic minor features missed if shifting from miui to realmeui the gallery app is not as good as miui one requiring more taps for basic opeeations like viewing whatsapp images folder mediocre ram management with realmeui android to be fair could not find any major bug in realmeui so far the lcd display is fantastic and very well calibrated with relatively cooler white point as opposed to yellowish super amoled there was no green or purple tint touch response was excellent screen protector case fast charger usb cable were present the phone feels much slimmer than my bulky due to its thin body gm less weight and sleek case camera app has full fledged manual mode something absent from samsung disclaimer above impression has been made after using smartphones over last years asus zenfone redmi redmi samsung strongly consider other current alternatives too like redmi note poco pro poco pro redmi note samsung samsung moto before buying narzo more info do not fall for bloatwares like glance when setting up the phone check as few check boxes as possible before blindly clicking agree turn off content recommendation by going to the settings additional settings get recommendations and switch the green toggle off to remove bloatwares that cannot be uninstalled usual way follow excellent guide by youtuber tech office mentioning all realme app names required for adb commands was able to uninstall hot apps games this way update detailed camera comparison between samsung and narzo samsung hdr algo seems more sophisticated narzo unnaturally brightens some shadows too much there is also some oversharpening both cameras choose cool auto white balance which results in bluer skies but lifeless greeneries even in golden hours however narzos colors become more hue accurate after choosing white point in expert mode whereas samsung still delivers bluish green foliage colors at cloudy white balance narzo strangely does some weak auto hdr even in expert mode but samsung fully turns it off in pro mode resulting unusable photos however when using night mode narzo photos appear more cleaner but less saturated at night gcam for narzo is not optimized properly and gives noisy night photos with greenish cast and crushed shadows much worse than realme night mode on the other hand thereas no gcam and no camera api support for at night you can take long exposure shots upto secs through expert mode by manually choosing shutter speed in narzo something you can do in this however requires tripod support and whenever done properly the results are very good you have manual film mode in narzo whereas you can even manually set white balance in video mode as samsung lower end galaxys don have pro video mode this mobile is suitable for every one it good but camara is average quality very good phone iam very happy with this while using thank you amaon had purchased this phone in and this phone is actually brilliant in this price range camera is good fingerprint sensor is good back panel is good purchased black one no hang but there is small problem that battery drains little faster and when you click home button google assistant appears most of the time which is quite annoying sometimes overall am happy with the phone wanted an affordable phone this fits the bill perfectly fantastic finger reader battery sustainability for long time usage and hd quality natural photographs awesome product at stunning price,positive
alignment between mug and top springi is not good which resulted water stagnation at top section causing bitter coffee taste absolutely amazing you can use if you wish to have black coffee or filter coffee you cant make coffee using milk initially got damaged product and amazon replaced it in day this is what needed to start the mornings excellent product good appliance decent product for home best product for brew coffee lover good thing is easy to use coffee is nice bad thing is the hot plate doesn cut off automatically so have to switch off manually and can put back on to reheat as it will start making coffee,positive
all good product is good love the notebook quality is good and like the texture of page and packaging is also good not bad value for money good quality copy pages are soft and bright feels good in writing note book is good and paking is very bad very nice book good set of books value for money and outer cover is very lovely and good to use will surely recommend this to everyone to buy it and my father took books on seeing it the books are in great condition they also have matte finish good quality paper will surely purchase again,positive
all is good except little loose cover ordered this specifically for the colour it fits okay the product catches lot of dust priced over is item nice product it was bit overpriced but good quality product did not receive the same blue color as showed in the description but received some glowing light blue colour which glows in dark remote stops working after months nice fit volume buttons should also be covered with transperant layer as symbols get wornbout over time it is smooth made with rubber perfectly fits to my remote,positive
always wanted to purchase it but never got chance before built pc for my sister zebronics has always delivered us with the best state of the art hardwares for gaming out of which this combo is one of the shining star the alphabet don light up just the keyboard does you can see anything in dark even if the keyboard lights are on does not have light in letter so it is hard to type and play hate about mouse and keybordit dont has software and no single color less rbg modes gaming is good and ergonomic is good and brightness is good but less like this product it is verry good for gammers speassily think you can go for it it delivered one day before for me the gamming expreance is more better with zebronic it is verrrrrrrrry goooood product it more actractive while gamming at dark keyboard and mouse both are good but can go for an better option also buy in sale for just have good look but not feels so premium mouse build is more bad than keyboard number key led panel almost out of the frame,positive
am not big on camera usage personally was even mentally prepared for bad camera based on some reviews here but was pleasantly surprised that camera clicks good photos they are not awesome but they are decent photos that can even be shared now coming to my biggest grouse heating issue the phone started heating up while charging but it was just little and so could have ignored it but then it started heating up more and got me very concerned even ordered replacement thinking got defective piece but then after further tests found that it is heating more when download huge amounts of data for example when restore data of my old phone from back up this is ok with me as don perform huge data loads regularly definitely not on phone then tested by running tasks usually perform such as checking office mails attending office meeting on phone watching video from amazon prime and so on the phone did not heat up even little personally this is good for me at this price range this is good phone but if you are camera heavy user and expect to perform heavy downloads frequently this phone may not for you am personally satisfied with this phone as it works for my type of usage will not go into plus points of this phone as they are covered by other reviews already am only attempting to clarify about how this phone can suit you or not in terms of camera and heating had many questions about these aspects before buying perhaps this review will help you make an informed decision to buy or avoid cheers display beauty camera decent performance amazing battery ok in mah expect more tbh overall good phone also after day of use found some network connectivity issue in my jiosim which using right now in this phone but ll keep update this review after month of usage it decent mobile under this price but few things worried me weight of the phone too many procedure to change some settings no screen casting apart from that it has good touch decent camera for day light battery life is good bought this smartphone for my mom samusung interface is very handful for easy use battery is superb last whole day camera is mediocre but provide original colour pictures all in all satisfied with this smartphone that got in sale for unable to do video call within same service provider as in volte within same service provider video call feature is available product is fine nothing fancy but for the budget it is good phone battery more than enough for normal use not sure in gaming camera good in this segment can record videos in fhd fps display since it lcd display the quality is bit less but good ram you can add upto gb of virtual ram but have to sacrifice your storage space to use it overall good budget phone finger print is working speedy battery backup is good camera quality is also good,positive
am not pro gamer play gta valo and cs go this mouse is enough for casual gaming and didn find any issues with it although after year something can hear the parts in side the mouse rattling but that could be because the mouse was dropped several times though the year maybe it well built so even the counterparts are moving the mouse still works good at this price nothing much to say sbout it it does the job and cable is strong enough decent buy if you want simple mouse with long enough cable the product built is quite good and hold is also nice must buy if you are looking for good mouse at this price standard mouse with good build quality can be used for both office and home basic purposes cheap in price great built quality smooth in use best over other mouses of this price segment and even better than costly mouses prefect product overall if you want good daily use mouse go for it over any mouse in the market can be used for normal purpose adequate length of the cable brand value comes with quality easy to use not suitable for gaming been using from while and its super comfortable,positive
am pleased with my purchase the installation process is easy and the product is very reliable the level safety feature ensures that the water heater is safe to use and prevents accidental scalding the water heater heats the water quickly and the temperature can be adjusted to suit my needs the only problem am facing is with the indicator ideally the red light shows that the water is getting heated and it turns off when the water is heated enough but in my unit it vice versa the green indicator is working as red and the red indicator is green it is worth buying it works well first of all packaging was poor secondly crompton says it is good for family of members bath bucket but for that waiting is too long go for higher rated geyser from crompton installation is not hard instruction book is given only lacking point is warranty card is sign seal warranty card is valueless works just fine but must say it is useful more for kitchen purpose and in bathroom if don use shower cuz after running for couple of seconds the temp of the water drops heating is not that effective being instant if anyone wants to take hot shower must go of geysers with larger storage capacity the packaging was good and intact no connecting pipes were inside the power cable was very short that made things bit difficult bought lengthy connecting hose for cold and hot water supply installed it myself and registered online on crompton site if you have drill machine or if you can borrow it it just takes two holes to complete the installation working well and makes hot water in mins do not connect using any extension box unless it is rated for otherwise the wires will melt better always try to connect directly with the socket very useful product,positive
am posting this after few weeks of using the product usage continuous ott only no cable dish operator average daily usage hours the tv is great value for money product installation the installation was simple and amazon assisted installation was smooth timely and hassle free picture the picture quality is not great when compared with the smoothness of sony lg and samsung with these kind of specs movies and especially hi res tv series experience was somewhat diluted as most of the times the output while in hi res wouldn look like movie quality which we are used to of watching in the likes of sony samsung lg etc however with time you get used to it and only realize the difference when you see the same movie at someone else better tv sound sound output is decent you wouldn need additional support to enhance the volume as such remote sleek sensitive and user friendly it exactly like amazon remote os same as any smart android tv works smoothly without much lags or hiccups switching apps from one to another takes couple of seconds more than sony but unless you have used to of those performances it looks just fine standalone and as your first smart tv you wouldn find any reasons to not like the quality and it would like hi res from the beginning it is great value for money product without doubt however if you are considering this as an alternative or second tv after owning the better ones in the past you will have hard time adjusting with it picture quality is good for this price didnt faced any lag on ui and browsing other apps only negative will be audio definitely need sound bar if are frequent movie watcher overall worth for money spend but the installation process is just awful amazon claiming that trained professional will visit for installation but neither they are trained nor professionals just read the installation manuals and installed the wall mount which took hours for them to buy the wall mount after charging money no demo given on tv as they have no idea about the product these things making to think twice or thrice to buy tv through online screen looks amazing but problem is with processor believe if content is getting streamed on device then we can observe the green screen flickers not so often but problem exists even remote control is not good as it take at least sec to react for the user action reason why believe processor is bad because do gaming using ps and never encountered problem with the screen if you buy tv in small town shop it will be delivered and installed immediately within couple of hours when you want to buy tv from amazon you need to wait for it to be delivered for couple of days and it is understandable the problem is with the installation they take so much time to install that you end up regretting buying the product its like you are hungry and food is in front of you but you cant eat so ordered my tv on monday it got delivered on friday and it will be installed on monday because of weekend where as there is no concept of weekend in small towns if we had the technician details we could reach out get it installed but that also will be shared hours before regarding product its good quality and very good for average user heavy duty like games and continuous usage on some store will be challenging guess this tv gives good results within the budget should definitely buy if the budget is but most important point like to mention is after sales service and also the installation part the installation guy didnt arrive at very first day that was scheduled even after rescheduling he didnt came for installation purpose so strictly be aware of this point the tv got in offer with discount on icici card but although the product came out defective it had dead pixel on the display which is very bad after period of time even after the fault was from seller as it was defective piece didnt got the replacement for the product and its totally unfair deal by amazon and the seller too final verdict is the tv quality and feature are good but the service from seller and amazon that is got was very poor inspite was prime member the seller dawntech electronics private limited gives very poor service and feel bad that in such cases amazon will not help you thankyou team also to be added tv installation services with product while delivering and unboxing no need to other sub vendor to getting installation and demo also dependency on third party involvement should be less bad experience with tv installation stuff pls look into this picture quality good sound quality not upto my xpectations not able to find the real dolby stereo effect remote not upto the mark for picture quality for both sound and remote quality good quality picture but it hangs on home screen,positive
am student needed it to carry abroad didn found any other portable mixer in lighter weight it working good blades sharp mera kam hogya am happy with my purchase noise is not good the product is very good for daily uses better product good working mixi after use of months easy to use but when we use daily and rough use heating problem occurs mixy jar stitching problem to mixy wheel then heavy noise occurs otherwise goodone am using for last one month its very good product for average use good product give rating,neutral
am using it for days now the experience is pretty good as of now picture quality is also not bad don expect something out of the world at this price point but you can go for it if you have tight budget initial impressions works as said glad didnt go for cheaper options not that its too costly just plug and play will update if it screws up the hdmi cable is good to watch movie sports and its gives better quality while connecting your laptop with tv and play loved it works as expected length of the cable is short and it was mentioned also satisfied my requirement if you need more length better look other options all good it the best hdmi cable at this price range no problems yet just go for it was expecting this to be delivered on time and it was delivered on time product is good as have tried other cables and wires from amazon basica brand good one,positive
